jdk-openjdk 24.0.1.u9-1
jemalloc 1:5.3.0-5
jq 1.7.1-2
jre21-openjdk 21.0.7.u6-1
js128 128.9.0-1
json-c 0.18-1
json-glib 1.10.6-1
jsoncpp 1.9.6-3
kaccounts-integration 25.04.0-1
karchive 6.13.0-1
karchive5 5.116.0-1
kauth 6.13.0-1
kauth5 5.116.0-1
kbd 2.7.1-2
kbookmarks 6.13.0-1
kbookmarks5 5.116.0-1
kcmutils 6.13.0-1
kcodecs 6.13.0-1
kcodecs5 5.116.0-1
kcolorscheme 6.13.0-1
kcompletion 6.13.0-1
kcompletion5 5.116.0-1
kconfig 6.13.0-1
kconfig5 5.116.0-1
kconfigwidgets 6.13.0-1
kconfigwidgets5 5.116.0-1
kcoreaddons 6.13.0-1
kcoreaddons5 5.116.0-1
kcrash 6.13.0-1
kcrash5 5.116.0-1
kdbusaddons 6.13.0-1
kdbusaddons5 5.116.0-1
kdeclarative5 5.116.0-1
kded5 5.116.0-1
kdenlive 25.04.0-1
kdnssd 6.13.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-1
keyutils 1.6.3-3
kfilemetadata 6.13.0-1
kglobalaccel 6.13.0-1
kglobalaccel5 5.116.0-1
kguiaddons 6.13.0-1
kguiaddons5 5.116.0-1
ki18n 6.13.0-1
ki18n5 5.116.0-1
kiconthemes 6.13.0-1
kiconthemes5 5.116.0-1
kidletime 6.13.0-1
kio 6.13.0-1
kio-extras 25.04.0-1
kio5 5.116.0-1
kirigami 6.13.0-1
kirigami-addons 1.7.0-1
kirigami2 5.116.0-1
kismet 2023_07_R2-1
kitemmodels 6.13.0-1
kitemviews 6.13.0-1
kitemviews5 5.116.0-1
kitty 0.41.1-1
kitty-shell-integration 0.41.1-1
kitty-terminfo 0.41.1-1
kjobwidgets 6.13.0-1
kjobwidgets5 5.116.0-1
kmod 34.2-1
knewstuff 6.13.0-1
knewstuff5 5.116.0-3
knotifications 6.13.0-1
knotifications5 5.116.0-1
knotifyconfig 6.13.0-1
kpackage 6.13.0-1
kpackage5 5.116.0-1
kparts 6.13.0-1
kparts5 5.116.0-1
kplotting5 5.116.0-1
kpmcore 25.04.0-2
kquickcharts 6.13.0-1
krb5 1.21.3-1
kservice 6.13.0-1
kservice5 5.116.0-1
ksvg 6.13.0-1
ktexteditor5 5.116.0-1
ktextwidgets 6.13.0-1
ktextwidgets5 5.116.0-1
kuserfeedback 6.13.0-1
kwallet 6.13.0-1
kwallet5 5.116.0-1
kwidgetsaddons 6.13.0-1
kwidgetsaddons5 5.116.0-1
kwindowsystem 6.13.0-1
kwindowsystem5 5.116.0-1
kxmlgui 6.13.0-1
kxmlgui5 5.116.0-1
l-smash 2.14.5-4
lame 3.100-5
lapack 3.12.1-2
lcms2 2.17-1
ldb 2:4.22.1-1
leancrypto 1.3.0-1
lensfun 1:0.3.4-5
leptonica 1.85.0-2
less 1:668-1
lib32-acl 2.3.2-1
lib32-alsa-lib 1.2.14-1
lib32-alsa-plugins 1.2.12-1
lib32-audit 4.0.3-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-curl 8.13.0-1
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.2-1
lib32-expat 2.7.1-1
lib32-fontconfig 2:2.16.2-1
lib32-freetype2 2.13.3-3
lib32-gcc-libs 14.2.1+r753+g1cd744a6828f-1
lib32-gettext 0.24-1
lib32-glib2 2.84.1-1
lib32-glibc 2.41+r47+g046b33800c3e-1
lib32-harfbuzz 11.1.0-1
lib32-icu 76.1-1
lib32-json-c 0.18-1
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.3-1
lib32-libcap 2.76-1
lib32-libdrm 2.4.124-1
lib32-libelf 0.192-2
lib32-libffi 3.4.8-1
lib32-libgcrypt 1.11.0-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.51-1
lib32-libidn2 2.3.7-1
lib32-libldap 2.6.9-1
lib32-libnghttp2 1.65.0-1
lib32-libnghttp3 1.9.0-1
lib32-libnl 3.11.0-1
lib32-libnm 1.52.0-1
lib32-libnsl 2.0.1-1
lib32-libpcap 1.10.5-2
lib32-libpciaccess 0.18.1-1
lib32-libpipewire 1:1.4.2-1
lib32-libpng 1.6.47-1
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.1-1
lib32-libtasn1 4.20.0-1
lib32-libtirpc 1.3.6-1
lib32-libunistring 1.3-1
lib32-libunwind 1.8.1-1
lib32-libva 2.22.0-1
lib32-libx11 1.8.12-1
lib32-libxau 1.0.11-2
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.4.38-1
lib32-libxcrypt-compat 4.4.38-1
lib32-libxcursor 1.2.3-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.6-1
lib32-libxfixes 6.0.1-2
lib32-libxi 1.8.2-1
lib32-libxinerama 1.1.5-2
lib32-libxkbcommon 1.8.1-1
lib32-libxml2 2.13.8-1
lib32-libxrandr 1.5.4-1
lib32-libxrender 0.9.11-2
lib32-libxshmfence 1.3.3-1
lib32-libxss 1.2.4-2
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:19.1.7-1
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-3
lib32-mesa 1:25.0.4-1
lib32-ncurses 6.5-1
lib32-nspr 4.36-1
lib32-nss 3.110-1
lib32-nvidia-utils 570.144-1
lib32-openssl 1:3.5.0-1
lib32-p11-kit 0.25.5-1
lib32-pam 1.7.0-1
lib32-pcre2 10.45-1
lib32-pipewire 1:1.4.2-1
lib32-spirv-tools 1:1.4.309.0-1
lib32-sqlite 3.49.1-1
lib32-systemd 257.5-1
lib32-util-linux 2.41-1
lib32-vulkan-icd-loader 1.4.309.0-1
lib32-wayland 1.23.1-1
lib32-xz 5.8.1-1
lib32-zlib 1.3.1-2
lib32-zstd 1.5.7-2
libabw 0.1.3-4
libaccounts-glib 1.27-2
libaccounts-qt 1.17-1
libadwaita 1:1.7.2-1
libaio 0.3.113-3
libappindicator-gtk3 12.10.0.r298-4
libarchive 3.7.9-1
libass 0.17.3-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-6
libatomic_ops 7.8.2-1
libavc1394 0.5.4-6
libavif 1.2.1-1
libb2 0.98.1-3
libblockdev 3.3.0-1
libblockdev-crypto 3.3.0-1
libblockdev-fs 3.3.0-1
libblockdev-loop 3.3.0-1
libblockdev-mdraid 3.3.0-1
libblockdev-nvme 3.3.0-1
libblockdev-part 3.3.0-1
libblockdev-swap 3.3.0-1
libbluray 1.3.4-2
libbpf 1.5.0-1
libbs2b 3.1.0-9
libbsd 0.12.2-2
libbytesize 2.11-1
libcaca 0.99.beta20-5
libcacard 2.8.1-1
libcamera 0.5.0-1
libcamera-ipa 0.5.0-1
libcanberra 1:0.30+r2+gc0620e4-4
libcap 2.76-1
libcap-ng 0.8.5-3
libcbor 0.11.0-1
libcdio 2.2.0-1
libcdio-paranoia 10.2+2.0.2-1
libcdr 0.1.8-2
libcloudproviders 0.3.6-1
libcmis 0.6.2-3
libcolord 1.4.7-2
libcue 2.3.0-1
libcups 2:2.4.12-1
libdaemon 0.14-6
libdatachannel 0.21.2-2
libdatrie 0.2.13-4
libdbusmenu-glib 16.04.0.r498-2
libdbusmenu-gtk3 16.04.0.r498-2
libdbusmenu-qt5 0.9.3+16.04.20160218-7
libdca 0.0.7-2
libde265 1.0.15-3
libdecor 0.2.2-1
libdeflate 1.23-1
libdisplay-info 0.2.0-2
libdovi 3.3.1-1
libdrm 2.4.124-1
libdv 1.0.0-11
libdvbpsi 1:1.3.3-3
libdvdnav 6.1.1-2
libdvdread 6.1.3-2
libe-book 0.1.3-17
libebml 1.4.5-1
libebur128 1.2.6-2
libedit 20250104_3.1-1
libei 1.4.0-1
libelf 0.192-4
libepoxy 1.5.10-3
libepubgen 0.1.1-5
